mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.5620195865631104,0.07622431287138712,0.22852044105529784,0.010610570243504482,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear')",3.0,0.9,40000,3,"(1, 1)","{'clf': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear'), 'clf__C': 3, 'tfidf__max_df': 0.9, 'tfidf__max_features': 40000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.8531083430170089,0.8605575984249363,0.8608861626954695,0.863682460176087,0.8586225020638669,0.8593714132754737,0.0035234512472519662,9
1.4843492031097412,0.1308334663510459,0.2317725658416748,0.020686381998524548,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear')",3.0,0.9,30000,3,"(1, 1)","{'clf': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear'), 'clf__C': 3, 'tfidf__max_df': 0.9, 'tfidf__max_features': 30000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.8531083430170089,0.8605575984249363,0.8608861626954695,0.863682460176087,0.8586225020638669,0.8593714132754737,0.0035234512472519662,9
1.4540873050689698,0.055230695606246875,0.2053842544555664,0.00974780752189743,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.9,30000,2,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.8490751132411013,0.8641822261851911,0.8628757059804886,0.8618524706534982,0.858077611054,0.8592126254228558,0.005461525146022616,13
1.3459755420684814,0.04571269975626128,0.21960220336914063,0.011414981597055656,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.9,40000,2,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__max_features': 40000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.8490751132411013,0.8641822261851911,0.8628757059804886,0.8618524706534982,0.858077611054,0.8592126254228558,0.005461525146022616,13
1.241576862335205,0.13410610238442375,0.2108612060546875,0.013670319797426616,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.95,40000,2,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.95, 'tfidf__max_features': 40000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.8490751132411013,0.8641822261851911,0.8628757059804886,0.8618524706534982,0.858077611054,0.8592126254228558,0.005461525146022616,13
1.2294273376464844,0.07963797552523569,0.2146735668182373,0.00600976756275175,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.95,30000,2,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.95, 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.8490751132411013,0.8641822261851911,0.8628757059804886,0.8618524706534982,0.858077611054,0.8592126254228558,0.005461525146022616,13
1.229476022720337,0.046961772447043096,0.200867223739624,0.021749120438537727,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.95,30000,3,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.95, 'tfidf__max_features': 30000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.8501730835124843,0.8630501386951955,0.862816149490021,0.8611132219879264,0.8543832576079208,0.8583071702587096,0.005143170759192769,17
1.279064130783081,0.10785747996099296,0.20639958381652831,0.011733050869410195,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.95,40000,3,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.95, 'tfidf__max_features': 40000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.8501730835124843,0.8630501386951955,0.862816149490021,0.8611132219879264,0.8543832576079208,0.8583071702587096,0.005143170759192769,17
1.2293711185455323,0.072549999804637,0.19845914840698242,0.01558914415063175,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.9,40000,3,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__max_features': 40000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.8501730835124843,0.8630501386951955,0.862816149490021,0.8611132219879264,0.8543832576079208,0.8583071702587096,0.005143170759192769,17
1.2330812454223632,0.06776320557549251,0.1958977222442627,0.008981754599939185,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.9,30000,3,"(1, 1)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__max_features': 30000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.8501730835124843,0.8630501386951955,0.862816149490021,0.8611132219879264,0.8543832576079208,0.8583071702587096,0.005143170759192769,17
